nom,dos,Name,time_cost,time_cost_background_color,artwork,type_line_left,tags_text,rules_text,taste_background_color,taste,faction,background_color,Name_taille,Name_couleurTexte,Name_couleurFond,time_cost_taille,time_cost_couleurTexte,time_cost_couleurFond,type_line_left_taille,type_line_left_couleurTexte,type_line_left_couleurFond,tags_text_taille,tags_text_couleurTexte,tags_text_couleurFond,rules_text_taille,rules_text_couleurTexte,rules_text_couleurFond,taste_taille,taste_couleurTexte,taste_couleurFond,faction_taille,faction_couleurTexte,faction_couleurFond,tags,folder,langue,fr_nom,en_nom,fr_Name,en_Name,fr_time_cost,en_time_cost,fr_type_line_left,en_type_line_left,fr_tags_text,en_tags_text,fr_rules_text,en_rules_text,fr_taste,en_taste,fr_faction,en_faction
Red Sauce Empire,,Red Sauce Empire,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/red_sauce_empire.png,Passive,Tomato,Your Tomato dishes get +1 Taste and cost 1 less to learn.,#00000000,,American+Italian,#D6453D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Empire de sauce rouge,Red Sauce Empire,Empire de sauce rouge,Red Sauce Empire,4,4,Passive,Passive,Tomate,Tomato,Vos plats Tomate gagnent +1 Gout et coutent 1 de moins a apprendre.,Your Tomato dishes get +1 Taste and cost 1 less to learn.,,,Americain+Italien,American+Italian
Rice Cooker,,Rice Cooker,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/rice_cooker.png,Passive,Rice,Rice dishes cost 1 less to learn. The first Rice dish you learn each turn goes on top of your deck even if it is not your first learned card.,#00000000,,Japanese+Italian,#E6D8B8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Cuiseur a riz,Rice Cooker,Cuiseur a riz,Rice Cooker,4,4,Passive,Passive,Riz,Rice,Les plats Riz coutent 1 de moins a apprendre. Le premier plat Riz que vous apprenez chaque tour va au-dessus de votre deck meme si ce n'est pas votre premiere carte apprise.,Rice dishes cost 1 less to learn. The first Rice dish you learn each turn goes on top of your deck even if it is not your first learned card.,,,Japonais+Italien,Japanese+Italian
Burger Diplomacy,,Burger Diplomacy,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/burger_diplomacy.png,Passive,"Meat, Tomato","When you learn this, each opponent gains a Burger from the market deck or supply. Your Burgers get +2 Taste. Opponents' Burgers count as Statuses for your effects.",#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Diplomatie du burger,Burger Diplomacy,Diplomatie du burger,Burger Diplomacy,6,6,Passive,Passive,"Viande, Tomate","Meat, Tomato","Quand vous apprenez cette carte, chaque adversaire gagne un Burger depuis le deck de marche ou la reserve. Vos Burgers gagnent +2 Gout. Les Burgers adverses comptent comme des Statuts pour vos effets.","When you learn this, each opponent gains a Burger from the market deck or supply. Your Burgers get +2 Taste. Opponents' Burgers count as Statuses for your effects.",,,Americain,American
Bureaucratic Cheese Inspection,,Bureaucratic Cheese Inspection,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bureaucratic_cheese_inspection.png,Passive,Cheese,"Whenever an opponent presents a dish with 5 or more Taste, they gain a Yelp Review. Your tagless dishes cost 1 more Time to learn.",#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Inspection bureaucratique du fromage,Bureaucratic Cheese Inspection,Inspection bureaucratique du fromage,Bureaucratic Cheese Inspection,6,6,Passive,Passive,Fromage,Cheese,"Chaque fois qu'un adversaire presente un plat avec au moins 5 Gout, il gagne Avis Yelp. Vos plats sans tag coutent 1 Temps de plus a apprendre.","Whenever an opponent presents a dish with 5 or more Taste, they gain a Yelp Review. Your tagless dishes cost 1 more Time to learn.",,,Francais,French
Conveyor Belt Shogunate,,Conveyor Belt Shogunate,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/conveyor_belt_shogunate.png,Passive,,"At the start of your turn each player Peels the top card of their deck. If you Peel a Dish this way, you may present it this turn.",#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Shogunat du tapis roulant,Conveyor Belt Shogunate,Shogunat du tapis roulant,Conveyor Belt Shogunate,6,6,Passive,Passive,,,"Au debut de votre tour chaque joueur Epluche la carte du dessus de son deck. Si vous Epluchez un Plat ainsi, vous pouvez le presenter ce tour-ci.","At the start of your turn each player Peels the top card of their deck. If you Peel a Dish this way, you may present it this turn.",,,Japonais,Japanese
Nonna's Witness Protection,,Nonna's Witness Protection,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/nonnas_witness_protection.png,Passive,,"The first time each turn an opponent gives you a Status, give that opponent Shame. Whenever an opponent gains Shame, gain 1 Favor.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Protection des temoins de Nonna,Nonna's Witness Protection,Protection des temoins de Nonna,Nonna's Witness Protection,6,6,Passive,Passive,,,"La premiere fois chaque tour qu'un adversaire vous donne un Statut, donnez Honte a cet adversaire. Chaque fois qu'un adversaire gagne Honte, gagnez 1 Faveur.","The first time each turn an opponent gives you a Status, give that opponent Shame. Whenever an opponent gains Shame, gain 1 Favor.",,,Italien,Italian
Influencer Kitchen,,Influencer Kitchen,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/influencer_kitchen.png,Passive,,"Whenever you give a Status to an opponent, gain 1 Favor. At the start of your Fridge step, if you gave no Status this turn, gain a Distraction.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Cuisine d'influenceur,Influencer Kitchen,Cuisine d'influenceur,Influencer Kitchen,4,4,Passive,Passive,,,"Chaque fois que vous donnez un Statut a un adversaire, gagnez 1 Faveur. Au debut de votre etape Frigo, si vous n'avez donne aucun Statut ce tour-ci, gagnez une Distraction.","Whenever you give a Status to an opponent, gain 1 Favor. At the start of your Fridge step, if you gave no Status this turn, gain a Distraction.",,,Neutre,Neutral
Review Bomb Campaign,,Review Bomb Campaign,7,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/review_bomb_campaign.png,Passive,,"Whenever you add a Status to an opponent's deck, put 1 token here. If there are 7 or more tokens here at judging, you win the game.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Campagne de review bombing,Review Bomb Campaign,Campagne de review bombing,Review Bomb Campaign,7,7,Passive,Passive,,,"Chaque fois que vous ajoutez un Statut au deck d'un adversaire, mettez 1 jeton ici. S'il y a au moins 7 jetons ici au jugement, vous gagnez la partie.","Whenever you add a Status to an opponent's deck, put 1 token here. If there are 7 or more tokens here at judging, you win the game.",,,Neutre,Neutral
Meal Prep Subscription,,Meal Prep Subscription,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/meal_prep_subscription.png,Passive,,"The first time each turn you draw 2 or more cards from one effect, gain 1 Time. At the start of your Fridge step, if you have no cards in hand, draw 1.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Abonnement meal prep,Meal Prep Subscription,Abonnement meal prep,Meal Prep Subscription,5,5,Passive,Passive,,,"La premiere fois chaque tour que vous piochez au moins 2 cartes avec un effet, gagnez 1 Temps. Au debut de votre etape Frigo, si vous n'avez aucune carte en main, piochez 1.","The first time each turn you draw 2 or more cards from one effect, gain 1 Time. At the start of your Fridge step, if you have no cards in hand, draw 1.",,,Neutre,Neutral
Algorithmic Menu,,Algorithmic Menu,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/algorithmic_menu.png,Passive,,"At the start of your turn look at the top 2 cards of your deck. You may discard 1. If you discard a Status this way, gain 1 Favor.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Menu algorithmique,Algorithmic Menu,Menu algorithmique,Algorithmic Menu,4,4,Passive,Passive,,,"Au debut de votre tour regardez les 2 premieres cartes de votre deck. Vous pouvez en defausser 1. Si vous defaussez un Statut ainsi, gagnez 1 Faveur.","At the start of your turn look at the top 2 cards of your deck. You may discard 1. If you discard a Status this way, gain 1 Favor.",,,Neutre,Neutral
Meal Prep Containers,,Meal Prep Containers,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/meal_prep_containers.png,Passive,,"At the start of your turn, if your Fridge is full, gain 1 Time. The first Dish you play from your Fridge each turn gets +1 Taste.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Boites de meal prep,Meal Prep Containers,Boites de meal prep,Meal Prep Containers,4,4,Passive,Passive,,,"Au debut de votre tour, si votre Frigo est plein, gagnez 1 Temps. Le premier Plat que vous jouez depuis votre Frigo chaque tour gagne +1 Gout.","At the start of your turn, if your Fridge is full, gain 1 Time. The first Dish you play from your Fridge each turn gets +1 Taste.",,,Neutre,Neutral
FACTION - Appropriate,,FACTION - Appropriate,7,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_appropriate.png,Faction,,"Whenever an opponent presents only dishes from one faction, after scoring steal their lowest-Taste presented dish and add it to your discard pile.",#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,FACTION - Appropriation,FACTION - Appropriate,FACTION - Appropriation,FACTION - Appropriate,7,7,Faction,Faction,,,"Chaque fois qu'un adversaire presente uniquement des plats d'une seule faction, apres le score volez son plat presente avec le plus faible Gout et ajoutez-le a votre defausse.","Whenever an opponent presents only dishes from one faction, after scoring steal their lowest-Taste presented dish and add it to your discard pile.",,,Americain,American
FACTION - Legislation,,FACTION - Legislation,7,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_legislation.png,Faction,,"During judging, if your highest-Taste dish has strictly more Taste than each opponent's highest-Taste dish, gain 2 Favor and each opponent loses 1 Favor.",#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,FACTION - Legislation,FACTION - Legislation,FACTION - Legislation,FACTION - Legislation,7,7,Faction,Faction,,,"Au jugement, si votre plat avec le plus de Gout a strictement plus de Gout que le meilleur plat de chaque adversaire, gagnez 2 Faveur et chaque adversaire perd 1 Faveur.","During judging, if your highest-Taste dish has strictly more Taste than each opponent's highest-Taste dish, gain 2 Favor and each opponent loses 1 Favor.",,,Francais,French
FACTION - Less Is More,,FACTION - Less Is More,7,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_less_is_more.png,Faction,,"Whenever an opponent draws 3 or more cards from one effect, that opponent Scorches 1.",#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,FACTION - Moins c'est plus,FACTION - Less Is More,FACTION - Moins c'est plus,FACTION - Less Is More,7,7,Faction,Faction,,,"Chaque fois qu'un adversaire pioche au moins 3 cartes avec un effet, cet adversaire Carbonise 1.","Whenever an opponent draws 3 or more cards from one effect, that opponent Scorches 1.",,,Japonais,Japanese
FACTION - Without Cream!,,FACTION - Without Cream!,7,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_without_cream.png,Faction,,"At the start of your turn, if an opponent gained more Favor than you on their last turn, gain Favor equal to the difference, up to 3.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,FACTION - Sans creme !,FACTION - Without Cream!,FACTION - Sans creme !,FACTION - Without Cream!,7,7,Faction,Faction,,,"Au debut de votre tour, si un adversaire a gagne plus de Faveur que vous pendant son dernier tour, gagnez autant de Faveur que la difference, jusqu'a 3.","At the start of your turn, if an opponent gained more Favor than you on their last turn, gain Favor equal to the difference, up to 3.",,,Italien,Italian
Foreigner Mistrust,,Foreigner Mistrust,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/foreigner_mistrust.png,Passive,,"At the start of your turn, each opponent gains a Judgment.",#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Mefiance envers les etrangers,Foreigner Mistrust,Mefiance envers les etrangers,Foreigner Mistrust,5,5,Passive,Passive,,,"Au debut de votre tour, chaque adversaire gagne un Jugement.","At the start of your turn, each opponent gains a Judgment.",,,Japonais,Japanese
Wage Inequalities,,Wage Inequalities,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/wage_inequalities.png,Passive,,"Whenever you present a dish with 5 or more Taste, each opponent gains Strike.",#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Inegalites salariales,Wage Inequalities,Inegalites salariales,Wage Inequalities,5,5,Passive,Passive,,,"Chaque fois que vous presentez un plat avec au moins 5 Gout, chaque adversaire gagne Greve.","Whenever you present a dish with 5 or more Taste, each opponent gains Strike.",,,Francais,French
Distraction,,Distraction,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/distraction.png,Status,,No effect. It is still annoying.,#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Distraction,Distraction,Distraction,Distraction,,,Statut,Status,,,Aucun effet. C'est quand meme penible.,No effect. It is still annoying.,,,Neutre,Neutral
Food Coma,,Food Coma,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/food_coma.png,Status,,"While this is in your hand, your first card learned each turn costs 1 more Time.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Coma alimentaire,Food Coma,Coma alimentaire,Food Coma,,,Statut,Status,,,"Tant que cette carte est dans votre main, la premiere carte que vous apprenez chaque tour coute 1 Temps de plus.","While this is in your hand, your first card learned each turn costs 1 more Time.",,,Neutre,Neutral
Yelp Review,,Yelp Review,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/yelp_review.png,Status,,During judging your highest-Taste dish gets -1 Taste. Then Peel Yelp Review.,#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Avis Yelp,Yelp Review,Avis Yelp,Yelp Review,,,Statut,Status,,,Au jugement votre plat avec le plus de Gout gagne -1 Gout. Puis Epluchez Avis Yelp.,During judging your highest-Taste dish gets -1 Taste. Then Peel Yelp Review.,,,Neutre,Neutral
Health Inspection,,Health Inspection,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/health_inspection.png,Status,,"During judging if you present 3 or more dishes, lose 1 Favor. Then Peel Health Inspection.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Inspection sanitaire,Health Inspection,Inspection sanitaire,Health Inspection,,,Statut,Status,,,"Au jugement si vous presentez au moins 3 plats, perdez 1 Faveur. Puis Epluchez Inspection sanitaire.","During judging if you present 3 or more dishes, lose 1 Favor. Then Peel Health Inspection.",,,Neutre,Neutral
Strike,,Strike,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/strike.png,Status,,The first Technique you play each turn costs 1 more Time. Then Peel Strike.,#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Greve,Strike,Greve,Strike,,,Statut,Status,,,La premiere Technique que vous jouez chaque tour coute 1 Temps de plus. Puis Epluchez Greve.,The first Technique you play each turn costs 1 more Time. Then Peel Strike.,,,Neutre,Neutral
Shame,,Shame,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/shame.png,Status,,"During judging if you present dishes from 2 or more factions, lose 1 Favor. Then Peel Shame.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Honte,Shame,Honte,Shame,,,Statut,Status,,,"Au jugement si vous presentez des plats de 2 factions ou plus, perdez 1 Faveur. Puis Epluchez Honte.","During judging if you present dishes from 2 or more factions, lose 1 Favor. Then Peel Shame.",,,Neutre,Neutral
Judgment,,Judgment,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/judgment.png,Status,,"When drawn, reveal the top card of your deck. Peel it unless it is Japanese. Then Peel Judgment.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Jugement,Judgment,Jugement,Judgment,,,Statut,Status,,,"Quand vous piochez cette carte, revelez la carte du dessus de votre deck. Epluchez-la sauf si elle est Japonaise. Puis Epluchez Jugement.","When drawn, reveal the top card of your deck. Peel it unless it is Japanese. Then Peel Judgment.",,,Neutre,Neutral
Mangia Mangia!,,Mangia Mangia!,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mangia_mangia_status.png,Status,,"When drawn, discard all Dish cards from your hand. Then Peel Mangia Mangia!.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Mangia Mangia !,Mangia Mangia!,Mangia Mangia !,Mangia Mangia!,,,Statut,Status,,,"Quand vous piochez cette carte, defaussez tous les Plats de votre main. Puis Epluchez Mangia Mangia !.","When drawn, discard all Dish cards from your hand. Then Peel Mangia Mangia!.",,,Neutre,Neutral
On Strike,,On Strike,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/on_strike.png,Status,,"When drawn, your Cook step ends. Then Peel On Strike.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,En greve,On Strike,En greve,On Strike,,,Statut,Status,,,"Quand vous piochez cette carte, votre etape Cuisine se termine. Puis Epluchez En greve.","When drawn, your Cook step ends. Then Peel On Strike.",,,Neutre,Neutral
We Heard You Have Oil,,We Heard You Have Oil,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/we_heard_you_have_oil.png,Status,,"When drawn, discard the highest-cost card from your hand. Then Peel We Heard You Have Oil.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,On a entendu que vous aviez du petrole,We Heard You Have Oil,On a entendu que vous aviez du petrole,We Heard You Have Oil,,,Statut,Status,,,"Quand vous piochez cette carte, defaussez la carte avec le cout le plus eleve de votre main. Puis Epluchez On a entendu que vous aviez du petrole.","When drawn, discard the highest-cost card from your hand. Then Peel We Heard You Have Oil.",,,Neutre,Neutral
