nom,dos,Name,time_cost,time_cost_background_color,artwork,type_line_left,tags_text,rules_text,taste_background_color,taste,faction,background_color,Name_taille,Name_police,Name_gras,Name_italique,Name_souligne,Name_couleurTexte,Name_couleurFond,time_cost_taille,time_cost_police,time_cost_gras,time_cost_italique,time_cost_souligne,time_cost_couleurTexte,time_cost_couleurFond,type_line_left_taille,type_line_left_police,type_line_left_gras,type_line_left_italique,type_line_left_souligne,type_line_left_couleurTexte,type_line_left_couleurFond,tags_text_taille,tags_text_police,tags_text_gras,tags_text_italique,tags_text_souligne,tags_text_couleurTexte,tags_text_couleurFond,rules_text_taille,rules_text_police,rules_text_gras,rules_text_italique,rules_text_souligne,rules_text_couleurTexte,rules_text_couleurFond,taste_taille,taste_police,taste_gras,taste_italique,taste_souligne,taste_couleurTexte,taste_couleurFond,faction_taille,faction_police,faction_gras,faction_italique,faction_souligne,faction_couleurTexte,faction_couleurFond,tags,folder,langue,fr_nom,en_nom,fr_Name,en_Name,fr_time_cost,en_time_cost,fr_type_line_left,en_type_line_left,fr_tags_text,en_tags_text,fr_rules_text,en_rules_text,fr_taste,en_taste,fr_faction,en_faction
Steakhouse,,Steakhouse,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/steakhouse.png,Passive,Meat,Your Meat dishes get +2 Taste.,#00000000,,French+American,#9A4D2E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Steakhouse,,Steakhouse,,5,,Passive,,Meat,,Your first Meat dish each turn gets +1 Taste. During judging if you present at least 2 Meat dishes gain +2 Favor.,,,,French+American
Strike,,Strike,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/strike.png,Status,,The first Technique you play each turn costs 1 more Time. Then Peel Strike.,#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Strike,,Strike,,,,Status,,,,The first Technique you play each turn costs 1 more Time. Then Peel Strike.,,,,Neutral
Super Bowl Commercial Break,,Super Bowl Commercial Break,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/super_bowl_commercial_break.png,Technique,,"Draw 2.
Starting with you, each player may draw 1; each who does gains Food Coma.",#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Super Bowl Commercial Break,,Super Bowl Commercial Break,,3,,Technique,,,,Draw 2. Each opponent may draw 1; each who does gains Food Coma.,,,,American
Supersize Me!,,Supersize Me!,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/supersize_me.png,Technique,,During judging copy one of your dishes as an additional presented dish.,#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Supersize Me!,,Supersize Me!,,5,,Technique,,,,During judging copy one of your dishes as an additional presented dish.,,,,American
Sushi Set,,Sushi Set,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/sushi_set.png,Dish - Main,"Seafood, Rice",During judging if you present Appetizer Main and Dessert gain +3 Favor.,#FFF2B8,3,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Sushi Set,,Sushi Set,,4,,Dish - Main,,"Seafood, Rice",,During judging if you present Appetizer Main and Dessert gain +2 Favor.,,3,,Japanese
Takoyaki,,Takoyaki,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/takoyaki.png,Dish - Extra,"Seafood, Fried","If this is your only Extra, you may Peel 1. Then look at the top 2 cards of your deck. You may put 1 on the bottom of your deck.",#FFF2B8,2,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Takoyaki,,Takoyaki,,3,,Dish - Extra,,"Seafood, Fried",,"If this is your only Extra, you may Peel 1. Then look at the top 2 cards of your deck. You may put 1 on the bottom of your deck.",,2,,Japanese
Taste Test,,Taste Test,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/taste_test.png,Technique,,"Draw 2 then discard 1. If the discarded card is a starter card or Status, you may Peel it.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Taste Test,,Taste Test,,2,,Technique,,,,"Draw 3 then discard 1. If the discarded card is a starter card or Status, you may Peel it.",,,,Neutral
Tasting Menu,,Tasting Menu,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/tasting_menu.png,Dish - Flexible,,"When you present this, choose which course it counts as. If it completes all 3 core courses, gain 1 Time.",#FFF2B8,2,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Tasting Menu,,Tasting Menu,,4,,Dish - Flexible,,,,"When you present this, choose which course it counts as. If it completes all 3 core courses, gain 1 Time.",,2,,Neutral
Tempura,,Tempura,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/tempura.png,Dish - Appetizer,"Seafood, Fried",During judging if you present no duplicate core course this gets +1 Taste.,#FFF2B8,2,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Tempura,,Tempura,,3,,Dish - Appetizer,,"Seafood, Fried",,During judging if you present no duplicate core course this gets +1 Taste.,,2,,Japanese
Tiramisu,,Tiramisu,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/tiramisu.png,Dish - Dessert,,If the Judge does not favor you gain +2 Favor.,#FFF2B8,2,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Tiramisu,,Tiramisu,,3,,Dish - Dessert,,,,If the Judge does not favor you gain +2 Favor.,,2,,Italian
Wage Inequalities,,Wage Inequalities,8,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/wage_inequalities.png,Passive,,"Whenever you present one or more dishes with 5 or more Taste, each opponent gains On Strike.",#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Wage Inequalities,,Wage Inequalities,,5,,Passive,,,,"Whenever you present a dish with 5 or more Taste, each opponent gains Strike.",,,,French
Wasabi Attack,,Wasabi Attack,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/wasabi_attack.png,Reaction,Seafood,"Target non-seafood dish gets -2 Taste this turn.
Each player scorches 1.
Then, if your entire deck is 7 or fewer cards, gain 3 Favor.",#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Wasabi Attack,,Wasabi Attack,,4,,Reaction,,Seafood,,Choose an opponent's dish. It gets -1 Taste. If it is not Seafood it gets -3 Taste instead. Its owner Scorches 1.,,,,Japanese
Wasabi Challenge,,Wasabi Challenge,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/wasabi_challenge.png,Dish - Appetizer,Seafood,"When you present this, Scorch 2.
Then, If your entire deck is 7 or fewer cards, gain 1 Favor.",#FFF2B8,4,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Wasabi Challenge,,Wasabi Challenge,,2,,Dish - Appetizer,,Seafood,,"When you present this, Scorch 2. If you Scorched a Status this way, gain 1 Favor.",,4,,Japanese
We Heard You Have Oil,,We Heard You Have Oil,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/we_heard_you_have_oil.png,Status,,"When drawn, discard the highest-cost card from your hand. Then Peel We Heard You Have Oil.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,We Heard You Have Oil,,We Heard You Have Oil,,,,Status,,,,"When drawn, discard the highest-cost card from your hand. Then Peel We Heard You Have Oil.",,,,Neutral
We're Gonna Build A Wall,,We're Gonna Build A Wall,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/were_gonna_build_a_wall.png,Technique,,"Each opponent gains a Food Coma.
Until your next turn, opponents cannot target your dishes.",#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,We're Gonna Build A Wall,,We're Gonna Build A Wall,,4,,Technique,,,,"Each opponent gains a Health Inspection. Until your next turn, opponents cannot steal your dishes. If any opponent has more Favor than you, gain 1 Time.",,,,American
Without Cream!,,Without Cream!,7,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_without_cream.png,Faction passive,,"At the judging step of each opponent, if that opponent has more favor than you, you gain 2 Favor and that opponent loses 2 Favor.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,FACTION - Without Cream!,,FACTION - Without Cream!,,7,,Faction,,,,"At the start of your turn, if an opponent gained more Favor than you on their last turn, gain Favor equal to the difference, up to 3.",,,,Italian
Yelp Bomb,,Yelp Bomb,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/yelp_bomb.png,Reaction,,Choose an opponent. They gain a Yelp Review. Draw 1.,#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Yelp Bomb,,Yelp Bomb,,3,,Reaction,,,,Choose an opponent. They gain a Yelp Review. Draw 1.,,,,Neutral
Yelp Review,,Yelp Review,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/yelp_review.png,Status,,During judging your highest-Taste dish gets -1 Taste. Then Peel Yelp Review.,#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Yelp Review,,Yelp Review,,,,Status,,,,During judging your highest-Taste dish gets -1 Taste. Then Peel Yelp Review.,,,,Neutral
You Call That Sushi?,,You Call That Sushi?,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/you_call_that_sushi.png,Reaction,,"Each opponent Scorches 1. For each Status Scorched this way, draw 1.",#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,You Call That Sushi?,,You Call That Sushi?,,3,,Reaction,,,,"Each opponent Scorches 1. For each Status Scorched this way, draw 1.",,,,Japanese
